Simplified	Pinyin	english
加油站	jiāyóuzhàn	gas station
家具	jiājù	furniture
假	jiǎ, jià	fake; if; borrow | vacation; holiday
价格	jiàgé	price
坚持	jiānchí	persist in; persevere
减肥	jiǎnféi	go on a diet; lose weight
减少	jiǎnshǎo	reduce; to decrease
建议	jiànyì	to propose; to suggest; recommend
将来	jiānglái	the future
奖金	jiǎngjīn	bonus
降低	jiàngdī	reduce; to lower; to drop
降落	jiàngluò	descend; to land; put down
交	jiāo	deliver; turn over; intersect; to pay (money); friendship
交流	jiāoliú	communicate; exchange; give and take; interaction; to alternate
交通	jiāotōng	traffic; transportation
郊区	jiāoqū	suburbs; outskirts
骄傲	jiāo'ào	proud; arrogant; conceited; take pride in
饺子	jiǎozi	dumpling; potsticker
教授	jiàoshòu	professor; instruct; to lecture
教育	jiàoyù	education
接受	jiēshòu	accept; receive (honors, etc.)
接着	jiēzhe	continue; carry on; to catch; follow
节	jié	section; part; festival; moral integrity; save; (mw for class periods)
节约	jiéyuē	frugal; to save
结果	jiéguǒ	result; outcome; finally
解释	jiěshì	to explain
尽管	jǐnguǎn	despite; although; even though | freely; without hesitation
紧张	jǐnzhāng	nervous; tension; strain
进行	jìnxíng	carry on; carry out; undertake
禁止	jìnzhǐ	to ban; prohibit
京剧	jīngjù	Beijing Opera
经济	jīngjì	economy; economic
经历	jīnglì	undergo; to experience
经验	jīngyàn	experience
精彩	jīngcǎi	brilliant; spectacular; wonderful
景色	jǐngsè	scenery; landscape; scene; view
警察	jǐngchá	police
竞争	jìngzhēng	compete
竟然	jìngrán	unexpectedly; to one's surprise; go so far as to
镜子	jìngzi	mirror
究竟	jiūjìng	after all; when all is said and done; actually
举	jǔ	lift; raise; cite
举办	jǔbàn	to conduct; to hold
举行	jǔxíng	convene; to hold (a meeting, ceremony, etc.)
拒绝	jùjué	to refuse; to decline; to reject
距离	jùlí	distance; be apart; away from
聚会	jùhuì	hold a meeting; get together; a party
开玩笑	kāi wánxiào	joke; play a joke; make fun of
开心	kāixīn	feel happy; have a great time; make fun of somebody
看法	kànfǎ	point of view; opinion
考虑	kǎolǜ	think over; consider
烤鸭	kǎoyā	roast duck
科学	kēxué	science; scientific knowledge
棵	kē	(mw for plants)
咳嗽	késou	to cough
可怜	kělián	pitiful; poor; pathetic
可是	kěshì	but; however
可惜	kěxī	it's a pity; regrettable; too bad
客厅	kètīng	living room; parlor
肯定	kěndìng	sure; definite; affirm; approve
空	kōng, kòng	empty; sky | leave blank; leisure
空气	kōngqì	air
恐怕	kǒngpà	be afraid; to fear; I'm afraid that...
苦	kǔ	bitter; miserable
矿泉水	kuàngquánshuǐ	mineral water
困	kùn	sleepy; surround; hard-pressed
困难	kùnnan	difficulty; difficult; problem
垃圾桶	lājītǒng	garbage can
拉	lā	to pull; to play (string instruments); to drag
辣	là	hot (spicy)
来不及	lái bu jí	there's not enough time (to do something); it's too late
来得及	lái de jí	there's still time
来自	láizì	come from (a place)
懒	lǎn	lazy
浪费	làngfèi	to waste; squander
浪漫	làngmàn	romantic
老虎	lǎohǔ	tiger
冷静	lěngjìng	calm; cool-headed; sober
礼拜天	lǐbàitiān	Sunday
礼貌	lǐmào	courtesy; politeness; manners
理发	lǐfà	a barber, hairdressing; haircut
理解	lǐjiě	comprehend; understand
理想	lǐxiǎng	ideal
力气	lìqi	physical strength; effort
厉害	lìhai	terrible; formidable; fierce; cool; awesome
例如	lìrú	for example; for instance
俩	liǎng	(colloquial) two (people)
连	lián	even; including; join
联系	liánxì	integrate; link; connection; contact
凉快	liángkuai	nice and cool; pleasantly cool
零钱	língqián	small change (of money)
另外	lìngwài	another; in addition; besides
留	liú	to leave (behind, a message); to retain; to stay
流利	liúlì	fluent
流行	liúxíng	spread; prevalent; be popular
旅行	lǚxíng	travel
律师	lǜshī	lawyer
乱	luàn	disorder; confusion; arbitrarily
麻烦	máfan	trouble (someone); troubling; bothersome
马虎	mǎhu	careless; sloppy; casual
满	mǎn	full; abbreviation for Manchurian
毛	máo	hair; fur; feather; dime (Kangxi radical 82)
毛巾	máojīn	towel; washcloth
美丽	měilì	beautiful
梦	mèng	to dream
迷路	mílù	to get lost
密码	mìmǎ	password; secret code
免费	miǎn fèi	free (of charge); no cost
秒	miǎo	second (unit of time or angle)
民族	mínzú	nationality; ethnic group
母亲	mǔqin	mother
目的	mùdì	purpose; aim; goal
耐心	nàixīn	to be patient
难道	nándào	could it be that ...?; don't tell me ...
难受	nánshòu	feel unwell; to suffer pain
内	nèi	inside; inner; internal; within
内容	nèiróng	content; substance; details
能力	nénglì	capability; capable; ability
年龄	niánlíng	(a person's) age
弄	nòng	do; manage; to handle; make
暖和	nuǎnhuo	warm; nice and warm
偶尔	ǒu'ěr	occasionally; once in a while; sometimes
排队	pái duì	queue; stand in line
排列	páiliè	arrange; align; permutation
判断	pànduàn	to judge; judgment; to decide
陪	péi	accompany; keep company
批评	pīpíng	criticize
皮肤	pífū	skin
脾气	píqi	temperament; disposition; temper
篇	piān	sheet; (mw for articles); piece of writing
骗	piàn	to cheat; to swindle; deceive
乒乓球	pīngpāngqiú	ping pong; table tennis
平时	píngshí	ordinarily; in normal times; in peacetime
破	pò	broken; damaged; to split
葡萄	pútao	grape
普遍	pǔbiàn	common; universal; general; widespread
普通话	pǔtōnghuà	Mandarin (common language)
其次	qícì	next; secondly
其中	qízhōng	among; in; included among these
气候	qìhòu	climate; atmosphere; weather
千万	qiānwàn	ten million; be sure to; must
签证	qiānzhèng	visa
敲	qiāo	knock; blackmail
桥	qiáo	bridge
巧克力	qiǎokèlì	chocolate
亲戚	qīnqi	a relative (i.e. family relation)
轻	qīng	light; easy; gentle; soft
轻松	qīngsōng	relaxed; gentle; easygoing
情况	qíngkuàng	circumstance; state of affairs; situation
穷	qióng	poor; exhausted
区别	qūbié	difference; distinguish
取	qǔ	to take; get; choose
全部	quánbù	whole; entire; complete
缺点	quēdiǎn	weak point; defect; fault; shortcoming
缺少	quēshǎo	to lack; be short of; be deficient in
却	què	but; yet; however
确实	quèshí	indeed; in truth; reliable
然而	rán'ér	however; yet; but
热闹	rènao	bustling; lively; busy
任何	rènhé	any; whatever; whichever
任务	rènwu	a mission; an assignment; a task
扔	rēng	to throw; throw away
仍然	réngrán	still; yet
日记	rìjì	diary
入口	rùkǒu	entrance
散步	sàn bù	to go for a walk
森林	sēnlín	forest
沙发	shāfā	sofa
伤心	shāngxīn	sad; grieve; brokenhearted
商量	shāngliang	consult; talk over; discuss
稍微	shāowēi	a little bit; slightly
勺子	sháozi	spoon; scoop; ladle
社会	shèhuì	society
申请	shēnqǐng	apply for; application
深	shēn	deep; profound; dark (of colors)
甚至	shènzhì	even (to the point of); so much so that
生活	shēnghuó	life; livelihood; to live
生命	shēngmìng	life
生意	shēngyi	business; trade
省	shěng	to save; economize; omit; province
剩	shèng	have as remainder; be left over; surplus
失败	shībài	be defeated; fail; lose
失望	shīwàng	disappointed; lose hope
师傅	shīfu	master; qualified worker; teacher
十分	shífēn	very; fully; 100%
实际	shíjì	actual; reality; practice
实在	shízài	honest; in reality; honestly; indeed; certainly
使	shǐ	to use; to make; to cause; enable; envoy; messenger
使用	shǐyòng	to use; employ; apply; administer; manipulate
世纪	shìjì	century
是否	shìfǒu	whether (or not); if
适合	shìhé	to suit; to fit
适应	shìyìng	to suit; to fit; adapt
收	shōu	receive; accept; collect; to harvest
收入	shōurù	take in; income; revenue
收拾	shōushi	to tidy; put in order; to repair; to settle with; punish
首都	shǒudū	capital (city)
首先	shǒuxiān	first (of all); in the first place; firstly
受不了	shòu bu liǎo	cannot endure; unbearable; can't stand
受到	shòudào	receive (influence, restriction, etc.); be subjected to
售货员	shòuhuòyuán	salesclerk; shop assistant
输	shū	to transport; to lose (a game, etc.)
熟悉	shúxī	familiar with; know well
数量	shùliàng	amount; quantity; number
数字	shùzì	number; numeral; figure; digit
帅	shuài	handsome; graceful; commander-in-chief
顺便	shùnbiàn	conveniently; in passing; on the way
顺利	shùnlì	go smoothly; without a hitch; successful
顺序	shùnxù	sequence; order
说明	shuōmíng	explain; explanation; illustrate; to show
硕士	shuòshì	Master's degree (M.A.)
死	sǐ	to die; dead; fixed; impassible; extremely
速度	sùdù	speed; rate; velocity
塑料袋	sùliàodài	plastic bag
酸	suān	sour; sore; ache
随便	suíbiàn	as one pleases; informal; random; casual
随着	suízhe	along with; in the wake of
孙子	sūnzi	grandson; son's son
所有	suǒyǒu	all; to have; to possess
台	tái	platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters)
抬	tái	to lift; to raise (with both palms up); carry (together)
态度	tàidu	manner; bearing; attitude
谈	tán	to talk; to chat; discuss
弹钢琴	tán gāngqín	play the piano
汤	tāng	soup; broth
糖	táng	sugar; candy; sweets
躺	tǎng	recline; lie down (on back or side)
趟	tàng, tāng	(mw for trips times) | to wade
讨论	tǎolùn	to discuss; discussion; to talk over
讨厌	tǎoyàn	to hate; loathe; disgusting; troublesome
特点	tèdiǎn	a characteristic; trait; feature
提	tí	to carry; to lift; to raise (an issue)
提供	tígōng	to supply; provide; furnish
提前	tíqián	shift to an earlier date; bring forward; to advance
提醒	tíxǐng	remind; call attention to; warn of
填空	tiánkòng	fill in the blanks; fill a vacancy
条件	tiáojiàn	condition; circumstances; prerequisite
停	tíng	to stop; to halt; to park (a car)
挺	tǐng	straighten up; stick out; rather (good); very
通过	tōngguò	by means of; through (a method); pass through; via
通知	tōngzhī	notify; to inform; notice
同情	tóngqíng	compassion; sympathy
同时	tóngshí	at the same time; simultaneously
推	tuī	to push; to scrape; to decline; postpone; elect
推迟	tuīchí	postpone; defer
脱	tuō	to shed; take off; to escape
袜子	wàzi	socks; stockings
完全	wánquán	complete; whole; totally
网球	wǎngqiú	tennis; tennis ball
网站	wǎngzhàn	website
往往	wǎngwǎng	often; frequently; more often than not
危险	wēixiǎn	danger; dangerous; perilous
卫生间	wèishēngjiān	restroom; bathroom; water closet (WC)
味道	wèidao	flavor; taste
温度	wēndù	temperature
文章	wénzhāng	article; essay
污染	wūrǎn	pollution; contamination
无	wú	have not; without; not (Kangxi radical 71)
无聊	wúliáo	nonsense; bored; silly; stupid
无论	wúlùn	no matter what; regardless of whether...
误会	wùhuì	to misunderstand; to mistake
西红柿	xīhóngshì	tomato
吸引	xīyǐn	attract (interest, investment, etc.)
咸	xián	salty; salted; all
现金	xiànjīn	cash
羡慕	xiànmù	to envy; admire
相反	xiāngfǎn	opposite; contrary
相同	xiāngtóng	identical; same; alike
香	xiāng	fragrant; savory (Kangxi radical 186)
详细	xiángxì	detailed; in detail; minute
响	xiǎng	make a sound; to ring; echo
橡皮	xiàngpí	rubber; an eraser
消息	xiāoxi	news; information
小吃	xiǎochī	snack; refreshments
小伙子	xiǎohuǒzi	young man; lad; youngster
小说	xiǎoshuō	novel; fiction
笑话	xiàohua	joke; laugh at
效果	xiàoguǒ	effect; result
心情	xīnqíng	mood; state of mind
辛苦	xīnkǔ	hard; exhausting; toilsome; laborious
信封	xìnfēng	envelope
信息	xìnxī	information; news; message
信心	xìnxīn	confidence; faith (in sb. or sth.)
兴奋	xīngfèn	excitement； be excited
行	xíng	walk; be current; do; will do; okay
醒	xǐng	wake up
幸福	xìngfú	happy; blessed; fortunate
性别	xìngbié	gender; sex; sexual distinction
性格	xìnggé	nature; personality; temperament
修理	xiūlǐ	to repair; perform maintenance; to overhaul
许多	xǔduō	many; a lot; much
学期	xuéqī	semester; school term
压力	yālì	pressure; stress
呀	ya	ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)
牙膏	yágāo	toothpaste
亚洲	Yàzhōu	Asia
严格	yángé	strict; stringent; tight
严重	yánzhòng	grave; serious; critical
研究	yánjiū	to study; to research
盐	yán	salt
眼镜	yǎnjìng	glasses; spectacles
演出	yǎnchū	to act (in a play); to perform; to put on a show; performance
演员	yǎnyuán	actor or actress; performer
阳光	yángguāng	sunshine; sunlight
养成	yǎngchéng	cultivate; acquire; to form
样子	yàngzi	manner; air; appearance; looks
邀请	yāoqǐng	to invite
要是	yàoshi	if; suppose; in case
钥匙	yàoshi	key
也许	yěxǔ	perhaps; probably; maybe
叶子	yèzi	leaves
页	yè	page; leaf (Kangxi radical 181)
一切	yíqiè	all; every; everything
以	yǐ	to use; according to; so as to; for; by
以为	yǐwéi	think (mistakenly); consider (that); believe
艺术	yìshù	art
意见	yìjiàn	opinion; view; suggestion; complaint
因此	yīncǐ	therefore; thus; that is why; because of this
引起	yǐnqǐ	give rise to; lead to; to cause; arouse
印象	yìnxiàng	impression
赢	yíng	to win; to beat; to profit
应聘	yìngpìn	accept a job offer; to apply for a job
永远	yǒngyuǎn	forever; eternal; always
勇敢	yǒnggǎn	brave; courageous
优点	yōudiǎn	merit; good point; a strength; a benefit
优秀	yōuxiù	outstanding; excellent
幽默	yōumò	humorous
尤其	yóuqí	especially; particularly
由	yóu	follow; from; by; through
由于	yóuyú	due to; owing to; as a result of; thanks to
邮局	yóujú	post office
友好	yǒuhǎo	friendly (relations); close friends
友谊	yǒuyì	friendship; companionship
有趣	yǒuqù	interesting; fascinating; amusing
于是	yúshì	as a result; thus; therefore
愉快	yúkuài	happy; cheerful; delightful
与	yǔ	(formal) and; to give; together with; participate; final particle expressing doubt or surprise
羽毛球	yǔmáoqiú	badminton
语法	yǔfǎ	grammar
语言	yǔyán	language
预习	yùxí	(of students) prepare a lesson before class; preview
原来	yuánlái	original; former; as it turns out
原谅	yuánliàng	to excuse; forgive; to pardon
原因	yuányīn	cause; reason
约会	yuēhuì	appointment; engagement; date
阅读	yuèdú	read; reading
云	yún	cloud; Yunnan province | say; speak
允许	yǔnxǔ	to permit; allow
杂志	zázhì	magazine
咱们	zánmen	we (including the listener); us; our
暂时	zànshí	temporary; transient; for the moment
